,Date,Open,High,Low,Close
0,2020-01-02,2954.1292811298426,2960.84326171875,2927.2735390830703,2960.84326171875
1,2020-01-03,2967.55712890625,2980.9850903868155,2947.4153669942625,2967.55712890625
2,2020-01-06,2927.273811754445,2947.4155750884865,2900.418067206098,2933.98779296875
3,2020-01-07,2960.8436200733836,2960.8436200733836,2940.7018561777354,2954.129638671875
4,2020-01-08,2940.70166015625,2954.1294417553195,2913.845916649245,2940.70166015625
5,2020-01-09,2954.129638671875,2967.557421166014,2933.9878747762264,2954.129638671875
6,2020-01-10,2974.271042587708,2974.271042587708,2947.4153005409357,2960.84326171875
7,2020-01-13,2974.271179450515,3027.982666015625,2967.55719855266,3027.982666015625
8,2020-01-14,3048.1245317141875,3088.408055466034,3034.696570257665,3068.26611328125
9,2020-01-15,3068.2659999883963,3074.97998046875,3041.4104386846884,3074.97998046875
10,2020-01-16,3068.26611328125,3081.6940747377726,3027.9825895294034,3068.26611328125
11,2020-01-17,3101.8353363704928,3115.2632964420077,3088.4077369166616,3108.54931640625
12,2020-01-20,3148.833232415877,3148.833232415877,3108.5497077476443,3128.691650390625
13,2020-01-21,3135.405517578125,3142.1194982156617,3115.263575665515,3135.405517578125
14,2020-01-22,3142.1198907979538,3162.261474609375,3135.4059093215596,3162.261474609375
15,2020-01-23,3168.9751146657927,3195.8306770602353,3148.833172406669,3182.403076171875
16,2020-01-24,3175.689095418834,3189.1170569249166,3142.11955227135,3182.403076171875
17,2020-01-27,3155.5470814470864,3155.5470814470864,3115.2635584620402,3121.9775390625
18,2020-01-28,3074.9798887163684,3115.263409778789,3068.2659084363486,3101.83544921875
19,2020-01-29,3101.83544921875,3128.691370338828,3088.4078492764074,3101.83544921875
20,2020-01-30,3155.54702499758,3155.54702499758,3074.97998046875,3074.97998046875
21,2020-01-31,3068.2660882793716,3074.9800689529234,2994.412841796875,2994.412841796875
22,2020-02-03,2994.412841796875,3014.5546035086722,2987.6990414321817,2994.412841796875
23,2020-02-04,3148.8332775626095,3148.8332775626095,3034.69668280246,3061.55224609375
24,2020-02-05,3068.266227071006,3074.980208048262,3027.982701825204,3061.55224609375
25,2020-02-06,3081.6943038156314,3081.6943038156314,3041.410777069307,3054.83837890625
26,2020-02-07,3074.980322588286,3074.980322588286,3048.1247582966525,3054.83837890625
27,2020-02-10,3021.2685546875,3041.4104965115234,2954.1292895339934,3021.2685546875
28,2020-02-11,3048.1246087091904,3048.1246087091904,3007.840903630925,3027.982666015625
29,2020-02-12,3034.696419994806,3061.5519809603784,3034.696419994806,3041.410400390625
30,2020-02-13,3074.9800940095115,3081.6940747377726,3048.1245317141875,3068.26611328125
31,2020-02-14,3041.410777069307,3081.6943038156314,3041.410777069307,3054.83837890625
32,2020-02-17,3007.8409340908465,3048.124639577058,3001.126953125,3001.126953125
33,2020-02-18,3001.1271478646804,3021.2689117603286,2954.129638671875,2954.129638671875
34,2020-02-19,2994.41285888875,3007.8408203125,2987.6990584857353,3007.8408203125
35,2020-02-20,3034.69668280246,3074.980208048262,3027.982701825204,3061.55224609375
36,2020-02-21,3061.55220988717,3061.55220988717,3027.982666015625,3027.982666015625
37,2020-02-24,3048.1243449437225,3048.1243449437225,3001.1266630344853,3014.554443359375
38,2020-02-25,2994.412812564326,3054.8380971098245,2994.412812564326,3021.2685546875
39,2020-02-26,3021.26860142739,3027.982582139265,3001.1268396006253,3007.8408203125
40,2020-02-27,3055.417450747621,3055.417450747621,2874.0455932641516,2881.021484375
41,2020-02-28,2783.360043909109,2922.876953125,2727.55346756544,2922.876953125
42,2020-03-02,2922.87637421773,2929.852265132545,2776.3837890625,2776.3837890625
43,2020-03-03,2825.2149110387963,2915.9007519147513,2790.335640594301,2860.093994140625
44,2020-03-04,2887.9974401476193,2957.755795315197,2881.0217357707315,2943.80419921875
45,2020-03-05,2992.6348729146275,2999.6107641827716,2881.0215493376213,2894.97314453125
46,2020-03-06,2818.238764734826,2825.214655661693,2790.335388370008,2797.311279296875
47,2020-03-09,2720.5770687185304,2755.4563363639245,2615.939453125,2615.939453125
48,2020-03-10,2636.8669569496133,2811.262921693293,2636.8669569496133,2727.552978515625
49,2020-03-11,2755.456355355732,2811.262921693293,2706.625492721208,2727.552978515625
50,2020-03-12,2664.7701666033236,2678.721947819376,2511.301697282599,2518.277587890625
51,2020-03-13,2518.277724080434,2629.8912304744035,2343.8817608468453,2595.011962890625
52,2020-03-16,2615.9394182477677,2615.9394182477677,2413.640080755489,2441.54345703125
53,2020-03-17,2441.5438785101946,2490.374748586691,2274.123779296875,2274.123779296875
54,2020-03-18,2281.099607046981,2399.688832837938,2155.5344893440033,2190.41357421875
55,2020-03-19,2183.4376648051025,2190.4133687200037,2043.9207763671875,2043.9207763671875
56,2020-03-20,2043.9209558429873,2071.824335980754,1904.4042424968302,1960.2108154296875
57,2020-03-23,1848.597285849267,1883.4765541520037,1827.6697998046875,1827.6697998046875
58,2020-03-24,1799.7664650673457,1918.3556803445913,1702.104736328125,1702.104736328125
59,2020-03-26,1743.9597521819492,2092.751702618339,1743.9597521819492,2050.896728515625
60,2020-03-27,2092.751667948394,2560.132828827963,2092.751667948394,2253.196044921875
61,2020-03-30,2197.389523134184,2197.389523134184,2099.727783203125,2099.727783203125
62,2020-03-31,2162.5099357463996,2232.268471853263,2071.8241010871934,2106.703369140625
63,2020-04-01,2099.7275317423537,2148.558395859959,2022.993289937165,2043.9207763671875
64,2020-04-02,1988.1138922166972,2022.9931589026196,1953.2348128734218,2002.065673828125
65,2020-04-03,2043.9207107765214,2057.8724928439215,1974.1623624674817,2016.017333984375
66,2020-04-06,2057.8725062714134,2113.679072877188,2029.969129297199,2106.703369140625
67,2020-04-07,2162.5100650067434,2260.1717965827297,2057.8726292772335,2113.67919921875
